Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Austin Hays","BAL",144,566,16,76,67,5,0.067137809,0.249116607,0.169230769,0.345108695,0.275,0.325088339,0.444230769,0.3300014699454856,0.31,112.07703738745425,-3.9160384661518037,4.274449400811248,-1.435269832611084,2.200725262939258,"Austin Hays",19363,669720
"Kerry Carpenter","DET",118,459,20,57,64,6,0.069716775,0.250544662,0.193779905,0.338028169,0.277511961,0.339869281,0.471291866,0.3471670179513463,0.339,121.3842815401849,-0.07838365714997053,11.68250879284147,-5.46606981754303,2.174982025782371,"Kerry Carpenter",25961,681481
"José Caballero","SEA",104,280,4,37,26,26,0.1,0.235714285,0.0995671,0.284848484,0.22077922,0.342857142,0.32034632,0.3045011120183127,0.299,96.38436462195457,5.201946181245148,3.9889048798404776,8.274280905723572,2.1714981203674513,"Jose Caballero",23401,676609
"Kevin Kiermaier","TOR",129,408,8,58,36,14,0.071078431,0.210784313,0.154054054,0.321428571,0.264864864,0.321867321,0.418918918,0.32002445930930845,0.301,104.2579271903652,-2.661769673228264,-0.580198220261734,8.49442994594574,2.1714941283982387,"Kevin Kiermaier",11038,595281
"George Springer","TOR",154,683,21,87,72,20,0.08784773,0.183016105,0.146818923,0.291489361,0.257748776,0.327459618,0.404567699,0.31970407217741015,0.332,104.03586061963503,-1.658786038402468,1.644071123916718,-3.094369888305664,2.1693840490100893,"George Springer",12856,543807
"J.D. Davis","SFG",144,546,18,61,69,1,0.095238095,0.278388278,0.164583334,0.319620253,0.247916666,0.325367647,0.4125,0.32122685486341224,0.324,104.22931517456418,-2.340191184077412,0.5205687345757579,2.52060204744339,2.15762746030641,"J.D. Davis",16219,605204
"J.D. Martinez","LAD",113,479,33,61,103,1,0.07098121,0.311064718,0.300925926,0.324324324,0.270833333,0.320754716,0.571759259,0.3693505277653702,0.37,135.1183126926043,-3.593460693024099,17.246067098955734,-11.94054423365742,2.155872931676886,"J.D. Martinez",6184,502110
"CJ Abrams","WSN",151,614,18,83,64,47,0.052117263,0.19218241,0.1669627,0.279069767,0.245115452,0.299509001,0.412078152,0.30628169414836587,0.306,90.07344666580632,9.51772757107392,1.9670561697952698,-1.408559799194336,2.141007647113136,"CJ Abrams",25768,682928
"Daulton Varsho","TOR",158,581,20,65,61,16,0.077452667,0.232358003,0.168880456,0.256,0.220113851,0.284974093,0.388994307,0.2925600450685399,0.303,85.22180594722055,2.828544685151428,-7.459442787042729,9.110820293426514,2.1331002736632927,"Daulton Varsho",19918,662139
"Spencer Steer","CIN",156,665,23,74,86,15,0.102255639,0.209022556,0.192439862,0.318396226,0.271477663,0.356390977,0.463917525,0.3548397146669546,0.331,117.90212765353068,1.6930750934407115,16.441478697503147,-17.749669551849365,2.1280759666952314,"Spencer Steer",26323,668715
"Mitch Garver","TEX",87,344,19,45,50,0,0.127906976,0.238372093,0.22972973,0.312820512,0.27027027,0.37026239,0.5,0.374233641471082,0.363,138.01901887167423,-1.439691498875618,14.231148523491726,-4.714099884033203,2.114491437656299,"Mitch Garver",15161,641598
